Aquaplex Pool Deck,11/26/2022,03:00 PM,Open,0
Arc Express,11/22/2022,08:49 PM,Open,3
Arc Floor One,11/26/2022,03:09 PM,Open,45
Arc Floor Two,11/26/2022,03:09 PM,Open,17
Arc Olympic Lifting Zones,11/26/2022,03:09 PM,Open,20
Climbing,11/22/2022,09:13 PM,Closed,0
Competition Pool,11/26/2022,03:00 PM,Open,1
Four Court Gym,11/26/2022,03:09 PM,Open,7
North Court,11/26/2022,03:09 PM,Open,0
Recreation Pool,11/26/2022,03:00 PM,Open,1
South Court,11/26/2022,03:09 PM,Open,1
Spa,11/26/2022,02:22 PM,Closed,1
Tennis Courts,11/26/2022,03:00 PM,Open,2
Aquaplex Pool Deck,11/26/2022,03:00 PM,Open,0
Arc Express,11/22/2022,08:49 PM,Open,3
Arc Floor One,11/26/2022,03:09 PM,Open,45
Arc Floor Two,11/26/2022,03:09 PM,Open,17
Arc Olympic Lifting Zones,11/26/2022,03:09 PM,Open,20
Climbing,11/22/2022,09:13 PM,Closed,0
Competition Pool,11/26/2022,03:00 PM,Open,1
Four Court Gym,11/26/2022,03:09 PM,Open,7
North Court,11/26/2022,03:09 PM,Open,0
Recreation Pool,11/26/2022,03:00 PM,Open,1
South Court,11/26/2022,03:09 PM,Open,1
Spa,11/26/2022,02:22 PM,Closed,1
Tennis Courts,11/26/2022,03:00 PM,Open,2
Aquaplex Pool Deck,11/26/2022,03:00 PM,Open,0
Arc Express,11/22/2022,08:49 PM,Open,3
Arc Floor One,11/26/2022,03:09 PM,Open,45
Arc Floor Two,11/26/2022,03:09 PM,Open,17
Arc Olympic Lifting Zones,11/26/2022,03:09 PM,Open,20
Climbing,11/22/2022,09:13 PM,Closed,0
Competition Pool,11/26/2022,03:00 PM,Open,1
Four Court Gym,11/26/2022,03:09 PM,Open,7
North Court,11/26/2022,03:09 PM,Open,0
Recreation Pool,11/26/2022,03:00 PM,Open,1
South Court,11/26/2022,03:09 PM,Open,1
Spa,11/26/2022,02:22 PM,Closed,1
Tennis Courts,11/26/2022,03:00 PM,Open,2
Aquaplex Pool Deck,11/26/2022,03:00 PM,Open,0
Arc Express,11/22/2022,08:49 PM,Open,3
Arc Floor One,11/26/2022,03:09 PM,Open,45
Arc Floor Two,11/26/2022,03:09 PM,Open,17
Arc Olympic Lifting Zones,11/26/2022,03:09 PM,Open,20
Climbing,11/22/2022,09:13 PM,Closed,0
Competition Pool,11/26/2022,03:00 PM,Open,1
Four Court Gym,11/26/2022,03:09 PM,Open,7
North Court,11/26/2022,03:09 PM,Open,0
Recreation Pool,11/26/2022,03:00 PM,Open,1
South Court,11/26/2022,03:09 PM,Open,1
Spa,11/26/2022,02:22 PM,Closed,1
Tennis Courts,11/26/2022,03:00 PM,Open,2
Aquaplex Pool Deck,11/26/2022,03:00 PM,Open,0
Arc Express,11/22/2022,08:49 PM,Open,3
Arc Floor One,11/26/2022,03:09 PM,Open,45
Arc Floor Two,11/26/2022,03:09 PM,Open,17
Arc Olympic Lifting Zones,11/26/2022,03:09 PM,Open,20
Climbing,11/22/2022,09:13 PM,Closed,0
Competition Pool,11/26/2022,03:00 PM,Open,1
Four Court Gym,11/26/2022,03:09 PM,Open,7
North Court,11/26/2022,03:09 PM,Open,0
Recreation Pool,11/26/2022,03:00 PM,Open,1
South Court,11/26/2022,03:09 PM,Open,1
Spa,11/26/2022,02:22 PM,Closed,1
Tennis Courts,11/26/2022,03:00 PM,Open,2
Aquaplex Pool Deck,11/26/2022,03:00 PM,Open,0
Arc Express,11/22/2022,08:49 PM,Open,3
Arc Floor One,11/26/2022,03:09 PM,Open,45
Arc Floor Two,11/26/2022,03:09 PM,Open,17
Arc Olympic Lifting Zones,11/26/2022,03:09 PM,Open,20
Climbing,11/22/2022,09:13 PM,Closed,0
Competition Pool,11/26/2022,03:00 PM,Open,1
Four Court Gym,11/26/2022,03:09 PM,Open,7
North Court,11/26/2022,03:09 PM,Open,0
Recreation Pool,11/26/2022,03:00 PM,Open,1
South Court,11/26/2022,03:09 PM,Open,1
Spa,11/26/2022,02:22 PM,Closed,1
Tennis Courts,11/26/2022,03:00 PM,Open,2
Aquaplex Pool Deck,11/26/2022,03:00 PM,Open,0
Arc Express,11/22/2022,08:49 PM,Open,3
Arc Floor One,11/26/2022,03:09 PM,Open,45
Arc Floor Two,11/26/2022,03:09 PM,Open,17
Arc Olympic Lifting Zones,11/26/2022,03:09 PM,Open,20
Climbing,11/22/2022,09:13 PM,Closed,0
Competition Pool,11/26/2022,03:00 PM,Open,1
Four Court Gym,11/26/2022,03:09 PM,Open,7
North Court,11/26/2022,03:09 PM,Open,0
Recreation Pool,11/26/2022,03:00 PM,Open,1
South Court,11/26/2022,03:09 PM,Open,1
Spa,11/26/2022,02:22 PM,Closed,1
Tennis Courts,11/26/2022,03:00 PM,Open,2
Aquaplex Pool Deck,11/26/2022,03:00 PM,Open,0
Arc Express,11/22/2022,08:49 PM,Open,3
Arc Floor One,11/26/2022,03:09 PM,Open,45
Arc Floor Two,11/26/2022,03:09 PM,Open,17
Arc Olympic Lifting Zones,11/26/2022,03:09 PM,Open,20
Climbing,11/22/2022,09:13 PM,Closed,0
Competition Pool,11/26/2022,03:00 PM,Open,1
Four Court Gym,11/26/2022,03:09 PM,Open,7
North Court,11/26/2022,03:09 PM,Open,0
Recreation Pool,11/26/2022,03:00 PM,Open,1
South Court,11/26/2022,03:09 PM,Open,1
Spa,11/26/2022,02:22 PM,Closed,1
Tennis Courts,11/26/2022,03:00 PM,Open,2
Aquaplex Pool Deck,11/26/2022,03:00 PM,Open,0
Arc Express,11/22/2022,08:49 PM,Open,3
Arc Floor One,11/26/2022,03:09 PM,Open,45
Arc Floor Two,11/26/2022,03:09 PM,Open,17
Arc Olympic Lifting Zones,11/26/2022,03:09 PM,Open,20
Climbing,11/22/2022,09:13 PM,Closed,0
Competition Pool,11/26/2022,03:00 PM,Open,1
Four Court Gym,11/26/2022,03:09 PM,Open,7
North Court,11/26/2022,03:09 PM,Open,0
Recreation Pool,11/26/2022,03:00 PM,Open,1
South Court,11/26/2022,03:09 PM,Open,1
Spa,11/26/2022,02:22 PM,Closed,1
Tennis Courts,11/26/2022,03:00 PM,Open,2
Aquaplex Pool Deck,11/26/2022,03:00 PM,Open,0
Arc Express,11/22/2022,08:49 PM,Open,3
Arc Floor One,11/26/2022,03:09 PM,Open,45
Arc Floor Two,11/26/2022,03:09 PM,Open,17
Arc Olympic Lifting Zones,11/26/2022,03:09 PM,Open,20
Climbing,11/22/2022,09:13 PM,Closed,0
Competition Pool,11/26/2022,03:00 PM,Open,1
Four Court Gym,11/26/2022,03:09 PM,Open,7
North Court,11/26/2022,03:09 PM,Open,0
Recreation Pool,11/26/2022,03:00 PM,Open,1
South Court,11/26/2022,03:09 PM,Open,1
Spa,11/26/2022,02:22 PM,Closed,1
Tennis Courts,11/26/2022,03:00 PM,Open,2
Aquaplex Pool Deck,11/26/2022,03:00 PM,Open,0
Arc Express,11/22/2022,08:49 PM,Open,3
Arc Floor One,11/26/2022,03:09 PM,Open,45
Arc Floor Two,11/26/2022,03:09 PM,Open,17
Arc Olympic Lifting Zones,11/26/2022,03:09 PM,Open,20
Climbing,11/22/2022,09:13 PM,Closed,0
Competition Pool,11/26/2022,03:00 PM,Open,1
Four Court Gym,11/26/2022,03:09 PM,Open,7
North Court,11/26/2022,03:09 PM,Open,0
Recreation Pool,11/26/2022,03:00 PM,Open,1
South Court,11/26/2022,03:09 PM,Open,1
Spa,11/26/2022,02:22 PM,Closed,1
Tennis Courts,11/26/2022,03:00 PM,Open,2
Aquaplex Pool Deck,11/26/2022,03:00 PM,Open,0
Arc Express,11/22/2022,08:49 PM,Open,3
Arc Floor One,11/26/2022,03:09 PM,Open,45
Arc Floor Two,11/26/2022,03:09 PM,Open,17
Arc Olympic Lifting Zones,11/26/2022,03:09 PM,Open,20
Climbing,11/22/2022,09:13 PM,Closed,0
Competition Pool,11/26/2022,03:00 PM,Open,1
Four Court Gym,11/26/2022,03:09 PM,Open,7
North Court,11/26/2022,03:09 PM,Open,0
Recreation Pool,11/26/2022,03:00 PM,Open,1
South Court,11/26/2022,03:09 PM,Open,1
Spa,11/26/2022,02:22 PM,Closed,1
Tennis Courts,11/26/2022,03:00 PM,Open,2
Aquaplex Pool Deck,11/26/2022,03:00 PM,Open,0
Arc Express,11/22/2022,08:49 PM,Open,3
Arc Floor One,11/26/2022,03:09 PM,Open,45
Arc Floor Two,11/26/2022,03:09 PM,Open,17
Arc Olympic Lifting Zones,11/26/2022,03:09 PM,Open,20
Climbing,11/22/2022,09:13 PM,Closed,0
Competition Pool,11/26/2022,03:00 PM,Open,1
Four Court Gym,11/26/2022,03:09 PM,Open,7
North Court,11/26/2022,03:09 PM,Open,0
Recreation Pool,11/26/2022,03:00 PM,Open,1
South Court,11/26/2022,03:09 PM,Open,1
Spa,11/26/2022,02:22 PM,Closed,1
Tennis Courts,11/26/2022,03:00 PM,Open,2
Aquaplex Pool Deck,11/26/2022,03:00 PM,Open,0
Arc Express,11/22/2022,08:49 PM,Open,3
Arc Floor One,11/26/2022,03:09 PM,Open,45
Arc Floor Two,11/26/2022,03:09 PM,Open,17
Arc Olympic Lifting Zones,11/26/2022,03:09 PM,Open,20
Climbing,11/22/2022,09:13 PM,Closed,0
Competition Pool,11/26/2022,03:00 PM,Open,1
Four Court Gym,11/26/2022,03:09 PM,Open,7
North Court,11/26/2022,03:09 PM,Open,0
Recreation Pool,11/26/2022,03:00 PM,Open,1
South Court,11/26/2022,03:09 PM,Open,1
Spa,11/26/2022,02:22 PM,Closed,1
Tennis Courts,11/26/2022,03:00 PM,Open,2
Aquaplex Pool Deck,11/26/2022,03:00 PM,Open,0
Arc Express,11/22/2022,08:49 PM,Open,3
Arc Floor One,11/26/2022,03:09 PM,Open,45
Arc Floor Two,11/26/2022,03:09 PM,Open,17
Arc Olympic Lifting Zones,11/26/2022,03:09 PM,Open,20
Climbing,11/22/2022,09:13 PM,Closed,0
Competition Pool,11/26/2022,03:00 PM,Open,1
Four Court Gym,11/26/2022,03:09 PM,Open,7
North Court,11/26/2022,03:09 PM,Open,0
Recreation Pool,11/26/2022,03:00 PM,Open,1
South Court,11/26/2022,03:09 PM,Open,1
Spa,11/26/2022,02:22 PM,Closed,1
Tennis Courts,11/26/2022,03:00 PM,Open,2
Aquaplex Pool Deck,11/26/2022,03:00 PM,Open,0
Arc Express,11/22/2022,08:49 PM,Open,3
Arc Floor One,11/26/2022,03:09 PM,Open,45
Arc Floor Two,11/26/2022,03:09 PM,Open,17
Arc Olympic Lifting Zones,11/26/2022,03:09 PM,Open,20
Climbing,11/22/2022,09:13 PM,Closed,0
Competition Pool,11/26/2022,03:00 PM,Open,1
Four Court Gym,11/26/2022,03:09 PM,Open,7
North Court,11/26/2022,03:09 PM,Open,0
Recreation Pool,11/26/2022,03:00 PM,Open,1
South Court,11/26/2022,03:09 PM,Open,1
Spa,11/26/2022,02:22 PM,Closed,1
Tennis Courts,11/26/2022,03:00 PM,Open,2
Aquaplex Pool Deck,11/26/2022,03:00 PM,Open,0
Arc Express,11/22/2022,08:49 PM,Open,3
Arc Floor One,11/26/2022,03:09 PM,Open,45
Arc Floor Two,11/26/2022,03:09 PM,Open,17
Arc Olympic Lifting Zones,11/26/2022,03:09 PM,Open,20
Climbing,11/22/2022,09:13 PM,Closed,0
Competition Pool,11/26/2022,03:00 PM,Open,1
Four Court Gym,11/26/2022,03:09 PM,Open,7
North Court,11/26/2022,03:09 PM,Open,0
Recreation Pool,11/26/2022,03:00 PM,Open,1
South Court,11/26/2022,03:09 PM,Open,1
Spa,11/26/2022,02:22 PM,Closed,1
Tennis Courts,11/26/2022,03:00 PM,Open,2
Aquaplex Pool Deck,11/26/2022,03:00 PM,Open,0
Arc Express,11/22/2022,08:49 PM,Open,3
Arc Floor One,11/26/2022,03:09 PM,Open,45
Arc Floor Two,11/26/2022,03:09 PM,Open,17
Arc Olympic Lifting Zones,11/26/2022,03:09 PM,Open,20
Climbing,11/22/2022,09:13 PM,Closed,0
Competition Pool,11/26/2022,03:00 PM,Open,1
Four Court Gym,11/26/2022,03:09 PM,Open,7
North Court,11/26/2022,03:09 PM,Open,0
Recreation Pool,11/26/2022,03:00 PM,Open,1
South Court,11/26/2022,03:09 PM,Open,1
Spa,11/26/2022,02:22 PM,Closed,1
Tennis Courts,11/26/2022,03:00 PM,Open,2
Aquaplex Pool Deck,11/26/2022,03:00 PM,Open,0
Arc Express,11/22/2022,08:49 PM,Open,3
Arc Floor One,11/26/2022,03:09 PM,Open,45
Arc Floor Two,11/26/2022,03:09 PM,Open,17
Arc Olympic Lifting Zones,11/26/2022,03:09 PM,Open,20
Climbing,11/22/2022,09:13 PM,Closed,0
Competition Pool,11/26/2022,03:00 PM,Open,1
Four Court Gym,11/26/2022,03:09 PM,Open,7
North Court,11/26/2022,03:09 PM,Open,0
Recreation Pool,11/26/2022,03:00 PM,Open,1
South Court,11/26/2022,03:09 PM,Open,1
Spa,11/26/2022,02:22 PM,Closed,1
Tennis Courts,11/26/2022,03:00 PM,Open,2
Aquaplex Pool Deck,11/26/2022,03:00 PM,Open,0
Arc Express,11/22/2022,08:49 PM,Open,3
Arc Floor One,11/26/2022,03:09 PM,Open,45
Arc Floor Two,11/26/2022,03:09 PM,Open,17
Arc Olympic Lifting Zones,11/26/2022,03:09 PM,Open,20
Climbing,11/22/2022,09:13 PM,Closed,0
Competition Pool,11/26/2022,03:00 PM,Open,1
Four Court Gym,11/26/2022,03:09 PM,Open,7
North Court,11/26/2022,03:09 PM,Open,0
Recreation Pool,11/26/2022,03:00 PM,Open,1
South Court,11/26/2022,03:09 PM,Open,1
Spa,11/26/2022,02:22 PM,Closed,1
Tennis Courts,11/26/2022,03:00 PM,Open,2
Aquaplex Pool Deck,11/26/2022,03:00 PM,Open,0
Arc Express,11/22/2022,08:49 PM,Open,3
Arc Floor One,11/26/2022,03:09 PM,Open,45
Arc Floor Two,11/26/2022,03:09 PM,Open,17
Arc Olympic Lifting Zones,11/26/2022,03:09 PM,Open,20
Climbing,11/22/2022,09:13 PM,Closed,0
Competition Pool,11/26/2022,03:00 PM,Open,1
Four Court Gym,11/26/2022,03:09 PM,Open,7
North Court,11/26/2022,03:09 PM,Open,0
Recreation Pool,11/26/2022,03:00 PM,Open,1
South Court,11/26/2022,03:09 PM,Open,1
Spa,11/26/2022,02:22 PM,Closed,1
Tennis Courts,11/26/2022,03:00 PM,Open,2
Aquaplex Pool Deck,11/26/2022,03:00 PM,Open,0
Arc Express,11/22/2022,08:49 PM,Open,3
Arc Floor One,11/26/2022,03:09 PM,Open,45
Arc Floor Two,11/26/2022,03:09 PM,Open,17
Arc Olympic Lifting Zones,11/26/2022,03:09 PM,Open,20
Climbing,11/22/2022,09:13 PM,Closed,0
Competition Pool,11/26/2022,03:00 PM,Open,1
Four Court Gym,11/26/2022,03:09 PM,Open,7
North Court,11/26/2022,03:09 PM,Open,0
Recreation Pool,11/26/2022,03:00 PM,Open,1
South Court,11/26/2022,03:09 PM,Open,1
Spa,11/26/2022,02:22 PM,Closed,1
Tennis Courts,11/26/2022,03:00 PM,Open,2
Aquaplex Pool Deck,11/26/2022,03:00 PM,Open,0
Arc Express,11/22/2022,08:49 PM,Open,3
Arc Floor One,11/26/2022,03:09 PM,Open,45
Arc Floor Two,11/26/2022,03:09 PM,Open,17
Arc Olympic Lifting Zones,11/26/2022,03:09 PM,Open,20
Climbing,11/22/2022,09:13 PM,Closed,0
Competition Pool,11/26/2022,03:00 PM,Open,1
Four Court Gym,11/26/2022,03:09 PM,Open,7
North Court,11/26/2022,03:09 PM,Open,0
Recreation Pool,11/26/2022,03:00 PM,Open,1
South Court,11/26/2022,03:09 PM,Open,1
Spa,11/26/2022,02:22 PM,Closed,1
Tennis Courts,11/26/2022,03:00 PM,Open,2
Aquaplex Pool Deck,11/26/2022,03:00 PM,Open,0
Arc Express,11/22/2022,08:49 PM,Open,3
Arc Floor One,11/26/2022,03:09 PM,Open,45
Arc Floor Two,11/26/2022,03:09 PM,Open,17
Arc Olympic Lifting Zones,11/26/2022,03:09 PM,Open,20
Climbing,11/22/2022,09:13 PM,Closed,0
Competition Pool,11/26/2022,03:00 PM,Open,1
Four Court Gym,11/26/2022,03:09 PM,Open,7
North Court,11/26/2022,03:09 PM,Open,0
Recreation Pool,11/26/2022,03:00 PM,Open,1
South Court,11/26/2022,03:09 PM,Open,1
Spa,11/26/2022,02:22 PM,Closed,1
Tennis Courts,11/26/2022,03:00 PM,Open,2
Aquaplex Pool Deck,11/26/2022,03:00 PM,Open,0
Arc Express,11/22/2022,08:49 PM,Open,3
Arc Floor One,11/26/2022,03:09 PM,Open,45
Arc Floor Two,11/26/2022,03:09 PM,Open,17
Arc Olympic Lifting Zones,11/26/2022,03:09 PM,Open,20
Climbing,11/22/2022,09:13 PM,Closed,0
Competition Pool,11/26/2022,03:00 PM,Open,1
Four Court Gym,11/26/2022,03:09 PM,Open,7
North Court,11/26/2022,03:09 PM,Open,0
Recreation Pool,11/26/2022,03:00 PM,Open,1
South Court,11/26/2022,03:09 PM,Open,1
Spa,11/26/2022,02:22 PM,Closed,1
Tennis Courts,11/26/2022,03:00 PM,Open,2
Aquaplex Pool Deck,11/26/2022,03:00 PM,Open,0
Arc Express,11/22/2022,08:49 PM,Open,3
Arc Floor One,11/26/2022,03:09 PM,Open,45
Arc Floor Two,11/26/2022,03:09 PM,Open,17
Arc Olympic Lifting Zones,11/26/2022,03:09 PM,Open,20
Climbing,11/22/2022,09:13 PM,Closed,0
Competition Pool,11/26/2022,03:00 PM,Open,1
Four Court Gym,11/26/2022,03:09 PM,Open,7
North Court,11/26/2022,03:09 PM,Open,0
Recreation Pool,11/26/2022,03:00 PM,Open,1
South Court,11/26/2022,03:09 PM,Open,1
Spa,11/26/2022,02:22 PM,Closed,1
Tennis Courts,11/26/2022,03:00 PM,Open,2
Aquaplex Pool Deck,11/26/2022,03:00 PM,Open,0
Arc Express,11/22/2022,08:49 PM,Open,3
Arc Floor One,11/26/2022,03:09 PM,Open,45
Arc Floor Two,11/26/2022,03:09 PM,Open,17
Arc Olympic Lifting Zones,11/26/2022,03:09 PM,Open,20
Climbing,11/22/2022,09:13 PM,Closed,0
Competition Pool,11/26/2022,03:00 PM,Open,1
Four Court Gym,11/26/2022,03:09 PM,Open,7
North Court,11/26/2022,03:09 PM,Open,0
Recreation Pool,11/26/2022,03:00 PM,Open,1
South Court,11/26/2022,03:09 PM,Open,1
Spa,11/26/2022,02:22 PM,Closed,1
Tennis Courts,11/26/2022,03:00 PM,Open,2
Aquaplex Pool Deck,11/26/2022,03:00 PM,Open,0
Arc Express,11/22/2022,08:49 PM,Open,3
Arc Floor One,11/26/2022,03:09 PM,Open,45
Arc Floor Two,11/26/2022,03:09 PM,Open,17
Arc Olympic Lifting Zones,11/26/2022,03:09 PM,Open,20
Climbing,11/22/2022,09:13 PM,Closed,0
Competition Pool,11/26/2022,03:00 PM,Open,1
Four Court Gym,11/26/2022,03:09 PM,Open,7
North Court,11/26/2022,03:09 PM,Open,0
Recreation Pool,11/26/2022,03:00 PM,Open,1
South Court,11/26/2022,03:09 PM,Open,1
Spa,11/26/2022,02:22 PM,Closed,1
Tennis Courts,11/26/2022,03:00 PM,Open,2
Aquaplex Pool Deck,11/26/2022,03:00 PM,Open,0
Arc Express,11/22/2022,08:49 PM,Open,3
Arc Floor One,11/26/2022,03:09 PM,Open,45
Arc Floor Two,11/26/2022,03:09 PM,Open,17
Arc Olympic Lifting Zones,11/26/2022,03:09 PM,Open,20
Climbing,11/22/2022,09:13 PM,Closed,0
Competition Pool,11/26/2022,03:00 PM,Open,1
Four Court Gym,11/26/2022,03:09 PM,Open,7
North Court,11/26/2022,03:09 PM,Open,0
Recreation Pool,11/26/2022,03:00 PM,Open,1
South Court,11/26/2022,03:09 PM,Open,1
Spa,11/26/2022,02:22 PM,Closed,1
Tennis Courts,11/26/2022,03:00 PM,Open,2
Aquaplex Pool Deck,11/26/2022,03:00 PM,Open,0
Arc Express,11/22/2022,08:49 PM,Open,3
Arc Floor One,11/27/2022,09:11 AM,Open,23
Arc Floor Two,11/27/2022,09:11 AM,Open,20
Arc Olympic Lifting Zones,11/27/2022,09:11 AM,Open,7
Climbing,11/22/2022,09:13 PM,Closed,0
Competition Pool,11/26/2022,03:00 PM,Open,1
Four Court Gym,11/27/2022,09:11 AM,Open,1
North Court,11/27/2022,09:11 AM,Open,0
Recreation Pool,11/26/2022,03:00 PM,Open,1
South Court,11/27/2022,09:11 AM,Open,0
Spa,11/26/2022,02:22 PM,Closed,1
Tennis Courts,11/26/2022,03:00 PM,Open,2
Aquaplex Pool Deck,11/26/2022,03:00 PM,Open,0
Arc Express,11/22/2022,08:49 PM,Open,3
Arc Floor One,11/27/2022,09:11 AM,Open,23
Arc Floor Two,11/27/2022,09:11 AM,Open,20
Arc Olympic Lifting Zones,11/27/2022,09:11 AM,Open,7
Climbing,11/22/2022,09:13 PM,Closed,0
Competition Pool,11/26/2022,03:00 PM,Open,1
Four Court Gym,11/27/2022,09:11 AM,Open,1
North Court,11/27/2022,09:11 AM,Open,0
Recreation Pool,11/26/2022,03:00 PM,Open,1
South Court,11/27/2022,09:11 AM,Open,0
Spa,11/26/2022,02:22 PM,Closed,1
Tennis Courts,11/26/2022,03:00 PM,Open,2
Aquaplex Pool Deck,11/26/2022,03:00 PM,Open,0
Arc Express,11/22/2022,08:49 PM,Open,3
Arc Floor One,11/27/2022,09:11 AM,Open,23
Arc Floor Two,11/27/2022,09:11 AM,Open,20
Arc Olympic Lifting Zones,11/27/2022,09:11 AM,Open,7
Climbing,11/22/2022,09:13 PM,Closed,0
Competition Pool,11/26/2022,03:00 PM,Open,1
Four Court Gym,11/27/2022,09:11 AM,Open,1
North Court,11/27/2022,09:11 AM,Open,0
Recreation Pool,11/26/2022,03:00 PM,Open,1
South Court,11/27/2022,09:11 AM,Open,0
Spa,11/26/2022,02:22 PM,Closed,1
Tennis Courts,11/26/2022,03:00 PM,Open,2
Aquaplex Pool Deck,11/26/2022,03:00 PM,Open,0
Arc Express,11/22/2022,08:49 PM,Open,3
